square_contain_id	geometry
139216.0	POINT (3378033.104116987 8395988.551586138)
257156.0	POINT (3387540.047237041 8377472.049758872)
307518.0	POINT (3391470.816413992 8369602.622394227)
142250.0	POINT (3362932.771494576 8395460.285869608)
163941.0	POINT (3366182.945661279 8392115.11936019)
200353.0	POINT (3376527.054766701 8386387.298062656)
134077.0	POINT (3373685.374673835 8396736.4021085)
137804.0	POINT (3364230.827456235 8396168.018239073)
133370.0	POINT (3366714.979757158 8396872.063798884)
215730.0	POINT (3385411.247511815 8383922.77310608)
178568.0	POINT (3363862.613405058 8389808.988602716)
234906.0	POINT (3392068.139135185 8380992.766144378)
222653.0	POINT (3377054.346106806 8382872.604876106)
60843.0	POINT (3375839.572252579 8408258.850809164)
219442.0	POINT (3374461.120263739 8383363.194024984)
